TreeID,Pub_Priv,Species,Diameter_c,X,Y
1,Pub,Pin Oak,1,1703172.25677,319297.704204
2,Pub,Northern Red Oak,2,1703183.66845,319324.521734
3,Pub,Black Oak,1,1703204.82283,319335.945131
4,Pub,Black Oak,1,1703235.97602,319337.528739
5,Pub,Black Oak,1,1703261.01576,319336.201254
6,Pub,Northern Red Oak,2,1703271.73273,319323.097157
7,Pub,Pin Oak,1,1703310.71189,319314.322871
8,Pub,Pin Oak,1,1703331.90477,319299.487854
9,Pub,Red Maple,2,1703165.38357,319228.595664
10,Pub,Red Maple,1,1703189.57521,319213.284498
11,Pub,White Oak,2,1703216.82909,319204.097799
12,Pub,White Oak,2,1703241.9394,319200.729342
13,Pub,Northern Red Oak,2,1703263.06881,319186.949294
14,Pub,White Oak,2,1703267.04971,319218.490294
15,Pub,Pin Oak,1,1703286.34178,319185.724401
16,Pub,Pin Oak,1,1703285.72933,319207.160032
17,Pub,Red Maple,2,1703301.0405,319154.1834
18,Pub,White Oak,3,1703307.77741,319184.805731
19,Pub,White Oak,3,1703322.78235,319163.982547
20,Pub,White Oak,3,1703322.47613,319132.747769
21,Pub,White Oak,3,1703349.91373,319118.079673
22,Pub,White Oak,3,1703349.30129,319155.74514
23,Pub,Northern Red Oak,2,1703350.21996,319181.161673
24,Pub,Eastern Hemlock,2,1703377.88915,319134.338216
25,Pub,Scotch Pine,2,1703384.58778,319147.735486
26,Pub,Scotch Pine,2,1703389.85099,319169.266812
27,Pub,Eastern White Pine,2,1703400.37742,319177.400869
28,Pub,Eastern Hemlock,2,1703413.77469,319162.089703
29,Pub,Scotch Pine,2,1703404.20521,319138.644481
30,Pub,Eastern Hemlock,2,1703423.34417,319145.82159
31,Pub,Eastern Hemlock,2,1703442.00465,319143.429221
32,Pub,Eastern White Pine,2,1703471.67003,319128.118056
33,Pub,Eastern White Pine,2,1703491.76594,319126.682635
34,Pub,Pin Oak,1,1703511.86184,319121.419422
35,Pub,Eastern White Pine,2,1703523.34522,319109.457574
36,Pub,Choke Cherry,1,1703499.89999,319105.629782
37,Pub,Choke Cherry,1,1703485.0673,319104.19436
38,Pub,Eastern White Pine,2,1703506.12015,319082.18456
39,Pub,Red Maple,1,1703485.54578,319082.18456
40,Pub,Black Oak,1,1703438.17686,319061.131708
41,Pub,Pin Oak,1,1703427.17196,319078.356769
42,Pub,Swamp White Oak,1,1703408.98995,319078.356769
43,Pub,Black Oak,1,1703386.50168,319074.528977
44,Pub,Black Oak,1,1703378.84609,319095.58183
45,Pub,Eastern Hemlock,1,1703381.71694,319047.255965
46,Pub,Eastern Hemlock,1,1703402.29132,319034.815643
47,Pub,Eastern Hemlock,1,1703383.15236,319022.853795
48,Pub,Red Maple,1,1703383.43944,319118.117951
49,Pub,Scarlet Oak,2,1703425.06667,319265.392221
50,Pub,Northern Red Oak,2,1703491.09607,319205.582982
51,Pub,Shingle Oak,1,1703495.88081,319196.491978
52,Pub,Shingle Oak,1,1703511.19198,319187.879447
53,Pub,Shingle Oak,1,1703520.76146,319181.180812
54,Pub,Shingle Oak,1,1703548.03447,319165.869648
55,Pub,White Oak,2,1703560.47479,319106.108256
60,Pub,English Yew,1,1703669.85393,319131.945846
61,Pub,English Yew,1,1703687.55746,319130.031951
62,Pub,English Yew,1,1703698.08389,319134.81669
63,Pub,English Yew,1,1703699.51931,319152.998699
64,Pub,English Yew,1,1703748.31566,319155.815305
65,Pub,English Yew,1,1703757.09685,319135.580392
66,Pub,English Yew,1,1703789.54907,319143.97979
67,Pub,Scarlet Oak,1,1703789.16728,319095.874145
68,Pub,Choke Cherry,1,1703847.19948,319150.470234
69,Pub,Choke Cherry,1,1703865.52544,319136.725765
70,Pub,Choke Cherry,1,1703871.6341,319157.342468
71,Pub,Choke Cherry,1,1703888.81468,319144.36158
72,Pub,Choke Cherry,1,1703889.96006,319166.887239
73,Pub,Choke Cherry,1,1703908.66781,319153.524561
74,Pub,Choke Cherry,1,1703912.10392,319174.141265
75,Pub,Choke Cherry,1,1703933.10242,319164.214703
76,Pub,Choke Cherry,1,1703946.08331,319181.39529
77,Pub,Scarlet Oak,1,1704014.92019,319084.420421
